,quote,quotee
117,"A thorough understanding of the typical mating continuations makes the most complicated sacrificial combinations leading up to them not only not difficult, but almost a matter of course.",Siegbert Tarrasch
118,"Chess problems demand from the composer the same virtues that characterize all worthwhile art: originality, invention, conciseness, harmony, complexity, and splendid insincerity.",Vladimir Nabokov
119,"Personally, I rather look forward to a computer program winning the world chess Championship. Humanity needs a lesson in humility.",Richard Dawkins
120,"The boy (then a 12 year old boy named Anatoly Karpov) doesn’t have a clue about chess, and there’s no future at all for him in this profession.",Mikhail Botvinnik
121,"As one by one I mowed them down, my superiority soon became apparent.",Jose Capablanca
122,"Though most people love to look at the games of the great attacking masters, some of the most successful players in history have been the quiet positional players. They slowly grind you down by taking away your space, tying up your pieces, and leaving you with virtually nothing to do!",Yasser Seirawan
123,Chess is ruthless; you’ve got to be prepared to kill people.,Nigel Short
124,"There must have been a time when men were demigods, or they could not have invented chess.",Gustav Schenk
125,Chess is really ninety nine percent calculation.,Soltis
126,Chess is the gymnasium of the mind.,Blaise Pascal
127,"The game of chess is not merely an idle amusement; several very valuable qualities of the mind are to be acquired and strengthened by it, so as to become habits ready on all occasions; for life is a kind of chess.",Benjamin Franklin
128,Winning isn’t everything... but losing is nothing.,Mednis
129,"Look at Garry Kasparov. After he loses, invariably he wins the next game. He just kills the next guy. That’s something that we have to learn to be able to do.",Maurice Ashley
130,There just isn’t enough televised chess.,David Letterman
131,"Avoid the crowd. Do your own thinking independently. Be the chess player, not the chess piece.",Ralph Charell
132,"Chess is a terrible game. If you have no center, your opponent has a freer position. If you do have a center, then you really have something to worry about!",Siegbert Tarrasch
133,"Any material change in a position must come about by mate, a capture, or a pawn promotion.",Purdy
134,"We don’t really know how the game was invented, though there are suspicions. As soon as we discover the culprits, we’ll let you know.",Bruce Pandolfini
135,The battle for the ultimate truth will never be won.  And that’s why chess is so fascinating.,Hans Kmoch
136,I am still a victim of chess. It has all the beauty of art and much more. It cannot be commercialized. Chess is much purer than art in its social position.,Marcel Duchamp
137,Blessed be the memory of him who gave the world this immortal game.,A. G. Gardiner
138,"In the perfect chess combination as in a first-rate short story, the whole plot and counter-plot should lead up to a striking finale, the interest not being allayed until the very last moment.",Yates and Winter
139,Castle early and often.,Rob Sillars
140,I believe that chess possesses a magic that is also a help in advanced age. A rheumatic knee is forgotten during a game of chess and other events can seem quite unimportant in comparison with a catastrophe on the chessboard.,Vlastimil Hort
141,"Chess is a more highly symbolic game, but the aggressions are therefore even more frankly represented in the play. It probably began as a war game; that is, the representation of a miniature battle between the forces of two kingdoms.",Karl Meninger
142,No chess Grandmaster is normal; they only differ in the extent of their madness.,Viktor Korchnoi
143,Chess is 99 percent tactics.,Teichmann
144,I’d rather have a pawn than a finger.,Reuben Fine
145,Chess mastery essentially consists of analyzing.,Mikhail Botvinnik
146,"If your opponent cannot do anything active, then don’t rush the position; instead you should let him sit there, suffer, and beg you for a draw.",Jeremy Silman
147,"The chess pieces are the block alphabet which shapes thoughts; and these thoughts, although making a visual design on the chessboard, express their beauty abstractly, like a poem.",Marcel Duchamp
148,Examine moves that smite! A good eye for smites is far more important than a knowledge of strategical principles.,Purdy
149,Chess is like life.,Boris Spassky
150,"If your opponent offers you a draw, try to work out why he thinks he’s worse off.",Nigel Short
151,Chess teaches you to control the initial excitement you feel when you see something that looks good and it trains you to think objectively when you’re in trouble.,Stanley Kubrick
152,Let the perfectionist play postal.,Yasser Seirawan
153,"If chess is a science, it’s a most inexact one. If chess is an art, it is too exacting to be seen as one. If chess is a sport, it’s too esoteric. If chess is a game, it’s too demanding to be just a game. If chess is a mistress, she’s a demanding one. If chess is a passion, it’s a rewarding one. If chess is life, it’s a sad one.",Anonymous
154,Chess is a foolish expedient for making idle people believe they are doing something very clever when they are only wasting their time.,George Bernard Shaw
155,"You must take your opponent into a deep dark forest where 2+2=5, and the path leading out is only wide enough for one.",Mikhail Tal
156,"I feel as if I were a piece in a game of chess, when my opponent says of it: That piece cannot be moved.",Soren Kierkegaard
157,"When your house is on fire, you can't be bothered with the neighbors.  Or, as we say in chess, if your king is under attack you don’t worry about losing a pawn on the queen’s side.",Garry Kasparov
158,"Man is a frivolous, a specious creature, and like a chess player, cares more for the process of attaining his goal than for the goal itself.",Dostoyevsky
159,"When asked, -How is that you pick better moves than your opponents?, I responded: I’m very glad you asked me that, because, as it happens, there is a very simple answer. I think up my own moves, and I make my opponent think up his.",Alexander Alekhine
160,Mistrust is the most necessary characteristic of the chess player.,Siegbert Tarrasch
161,What is the object of playing a gambit opening?... To acquire a reputation of being a dashing player at the cost of losing a game.,Siegbert Tarrasch
162,"Pawns; they are the soul of this game, they alone form the attack and defense.",François-André Danican Philidor
163,"In chess, at least, the brave inherit the earth.",Edmar Mednis
164,"There are two classes of men; those who are content to yield to circumstances and who play whist; those who aim to control circumstances, and who play chess.",Mortimer Collins
165,The tactician must know what to do whenever something needs doing; the strategist must know what to do when nothing needs doing.,Savielly Tartakower
166,All chess players should have a hobby.,Savielly Tartakower
167,"I played chess with him and would have beaten him sometimes only he always took back his last move, and ran the game out differently.",Mark Twain
168,The tactician knows what to do when there is something to do; whereas the strategian knows what to do when there is nothing to do.,Gerald Abrahams
169,"In chess, just as in life, today’s bliss may be tomorrow’s poison.",Assaic
170,You may learn much more from a game you lose than from a game you win. You will have to lose hundreds of games before becoming a good player.,Jose Raul Capablanca
171,The way he plays chess demonstrates a man’s whole nature.,Stanley Ellin
172,You can only get good at chess if you love the game.,Bobby Fischer
173,A man that will take back a move at chess will pick a pocket.,Richard Fenton
174,Whoever sees no other aim in the game than that of giving checkmate to one’s opponent will never become a good chess player.,Euwe
175,"In blitz, the Knight is stronger than the Bishop.",Vlastimil Hort
176,Chess is a fighting game which is purely intellectual and includes chance.,Richard Reti
177,Chess is a sea in which a gnat may drink and an elephant may bathe.,Hindu proverb
178,Pawn endings are to chess what putting is to golf.,Cecil Purdy
179,Chess opens and enriches your mind.,Saudin Robovic
180,The isolated pawn casts gloom over the entire chessboard.,Aron Nimzowitsch
181,"For me, chess is life and every game is like a new life. Every chess player gets to live many lives in one lifetime.",Eduard Gufeld
182,Chess is a terrific way for kids to build self image and self esteem.,Saudin Robovic
183,"If a ruler does not understand chess, how can he rule over a kingdom?",King Khusros II
184,Chess is a cold bath for the mind.,Sir John Simon
185,Becoming successful at chess allows you to discover your own personality. That’s what I want for the kids I teach.,Saudin Robovic
186,Chess is so inspiring that I do not believe a good player is capable of having an evil thought during the game.,Wilhelm Steinitz
187,You are for me the queen on d8 and I am the pawn on d7!!,GM Eduard Gufeld
188,"By playing at chess then, we may learn: First: Foresight. Second: Circumspection. Third: Caution. And lastly, we learn by chess the habit of not being discouraged by present bad appearances in the state of our affairs, the habit of hoping for a favorable chance, and that of persevering in the secrets of resources.",Benjamin Franklin
189,I prefer to lose a really good game than to win a bad one.,David Levy
190,Capture of the adverse king is the ultimate but not the first object of the game.,William Steinitz
191,"When I have white, I win because I am white; When I have black, I win because I am Bogolyubov.",Bogolyubov
192,Every pawn is a potential queen.,James Mason
193,"Chess is in its essence a game, in its form an art, and in its execution a science.",Baron Tassilo
194,No price is too great for the scalp of the enemy king.,Koblentz
195,"In life, as in chess, ones own pawns block ones way.  A mans very wealth, ease, leisure, children, books, which should help him to win, more often checkmate him.",Charles Buxton
196,Chess is a part of culture and if a culture is declining then chess too will decline.,Mikhail Botvinnik
197,A good sacrifice is one that is not necessarily sound but leaves your opponent dazed and confused.,Rudolph Spielmann
198,"Chess, like any creative activity, can exist only through the combined efforts of those who have creative talent, and those who have the ability to organize their creative work.",Mikhail Botvinnik
199,One bad move nullifies forty good ones.,Horowitz
200,"Place the contents of the chess box in a hat, shake them up vigorously, pour them on the board from a height of two feet, and you get the style of Steinitz.",H. E. Bird
201,"I have never in my life played the French Defence, which is the dullest of all openings.",Wilhelm Steinitz
202,"Pawns are born free, yet they are everywhere in chains.",Rick Kennedy
203,"It is not a move, even the best move that you must seek, but a realizable plan.",Eugene Znosko-Borovsky
204,"Those who say they understand chess, understand nothing.",Robert Hübner
205,Good offense and good defense both begin with good development.,Bruce A. Moon
206,"Botvinnik tried to take the mystery out of chess, always relating it to situations in ordinary life. He used to call chess a typical inexact problem similar to those which people are always having to solve in everyday life.",Garry Kasparov
207,A good player is always lucky.,Jose Raul Capablanca
208,The sign of a great master is his ability to win a won game quickly and painlessly.,Irving Chernev
209,One of these modest little moves may be more embarrassing to your opponent than the biggest threat.,Siegbert Tarrasch
210,"Live, lose, and learn, by observing your opponent how to win.",Amber Steenbock
211,"The older I grow, the more I value pawns.",Keres
212,"Everything is in a state of flux, and this includes the world of chess.",Mikhail Botvinnik
